title,price,location,rooms,size
Villa,716000,"Yiti, Muscat",3.0,166
Apartment,45000,"Salalah, Dhofar",,55
Villa,154900,"Al Maabilah, Muscat",5.0,400
Villa,227100,"Al Maabilah, Muscat",5.0,400
Villa,203300,"Al Maabilah, Muscat",5.0,500
Apartment,85000,"Muscat Hills, Muscat",2.0,135
Residential Land,15000,"Azaiba, Muscat",,90
Apartment,85034,"Yiti, Muscat",1.0,85
Villa,238000,"Yiti, Muscat",4.0,256
Apartment,155000,"Muscat - Other, Muscat",2.0,156
Apartment,125000,"The Wave (Almouj), Muscat",1.0,70
Apartment,69000,"Al Hail, Muscat",2.0,102
Villa,210000,"Al Hail, Muscat",6.0,480
Apartment,26500,"Al Seeb, Muscat",1.0,70
Residential Land,105000,"Al Mawaleh, Muscat",,690
Villa,588000,"The Wave (Almouj), Muscat",5.0,722
Residential Land,15000,"Barka, Al Batinah",,300
Villa,205000,"The Wave (Almouj), Muscat",4.0,175
Villa,117000,"Al Khoud, Muscat",4.0,328
Residential Land,25000,"Shinas, Al Batinah",,5
Residential Land,31500,"Shinas, Al Batinah",,6
Residential Land,4500,"Saham, Al Batinah",,607
Villa,335000,"Al Sifah, Muscat",4.0,344
Villa,47000,"Sumail, Al Dakhiliya",4.0,260
Apartment,36500,"Al Maabilah, Muscat",3.0,126
Residential Land,5200,"Saham, Al Batinah",,600
Villa,455000,"Yiti, Muscat",3.0,120
Villa,48000,"Sohar, Al Batinah",5.0,304
Residential Land,100000,"Al Rustaq, Al Batinah",,3
Residential Land,5950,"Al Masn'a, Al Batinah",,600
Residential Land,9300,"Saham, Al Batinah",,757
Apartment,23000,"Al Duqum, Al Wusta",1.0,35
Villa,49000,"Al Rustaq, Al Batinah",4.0,293
Residential Land,130000,"Al Maabilah, Muscat",,500
Villa,105000,"Ansab, Muscat",5.0,422
Apartment,135000,"The Wave (Almouj), Muscat",3.0,138
Chalet,85000,"Suwaiq, Al Batinah",3.0,10
Villa,39000,"Al Amarat, Muscat",3.0,423
Apartment,112000,"Muscat Hills, Muscat",2.0,138
Villa,174650,"Al Maabilah, Muscat",5.0,249
Apartment,90675,"Muscat Hills, Muscat",2.0,108
Apartment,65000,"Muscat Hills, Muscat",1.0,85
Villa,165000,"Ansab, Muscat",7.0,300
Apartment,96122,"Yiti, Muscat",1.0,68
Apartment,45000,"Ghala, Muscat",2.0,99
Apartment,298082,"Qurum, Muscat",2.0,132
Villa,190000,"Al Sifah, Muscat",2.0,818
Apartment,125000,"Salalah, Dhofar",3.0,111
Villa,82000,"Nizwa, Al Dakhiliya",5.0,430
Villa,160000,"Salalah, Dhofar",2.0,131
Villa,1000000,"Al Buraimi, Al Buraimi",10.0,1
Apartment,94000,"The Wave (Almouj), Muscat",1.0,107
Villa,88000,"Al Maabilah, Muscat",6.0,781
Apartment,63000,"Muscat Hills, Muscat",1.0,76
Villa,235000,"Al Khoud, Muscat",4.0,417
Apartment,63000,"Muscat Hills, Muscat",1.0,95
Villa,178000,"Sultan Haitham City, Muscat",5.0,249
Apartment,112000,"Muscat Hills, Muscat",2.0,138
Residential Land,6200,"Ibra, Al Sharqiya",,600
Apartment,54000,"Bosher, Muscat",3.0,116
Villa,90000,"Salalah, Dhofar",2.0,120
Apartment,42000,"Al Maabilah, Muscat",,50
Residential Land,10500,"Sumail, Al Dakhiliya",,600
Apartment,63000,"Muscat Hills, Muscat",1.0,76
Apartment,85000,"Muscat Hills, Muscat",1.0,95
Villa,27000,"Bosher, Muscat",2.0,75
Villa,238891,"Yiti, Muscat",3.0,253
Villa,340000,"Sultan Haitham City, Muscat",4.0,388
Apartment,160000,"The Wave (Almouj), Muscat",2.0,200
Residential Land,9500,"Ibra, Al Sharqiya",,680
Apartment,80000,"Muscat Hills, Muscat",2.0,129
Villa,310000,"Sultan Haitham City, Muscat",7.0,413
Apartment,222240,"Al Seeb, Muscat",4.0,339
Villa,75000,"Al Amarat, Muscat",5.0,200
Apartment,60684,"Muscat Hills, Muscat",1.0,78
Residential Land,16000,"Salalah, Dhofar",,600
Apartment,64890,"Muscat Hills, Muscat",1.0,76
Apartment,103000,"The Wave (Almouj), Muscat",1.0,91
Apartment,51000,"Bosher, Muscat",4.0,114
Villa,340000,"Sultan Haitham City, Muscat",4.0,388
Villa,59000,"Barka, Al Batinah",4.0,300
Villa,349549,"Sultan Haitham City, Muscat",4.0,388
Villa,100000,"Barka, Al Batinah",3.0,600
Apartment,110000,"The Wave (Almouj), Muscat",1.0,95
Chalet,220000,"Barka, Al Batinah",4.0,1
Residential Land,23300,"Barka, Al Batinah",,600
Villa,65000,"Al Maabilah, Muscat",4.0,600
Villa,90000,"Al Maabilah, Muscat",7.0,300
Residential Land,120000,"Al Maabilah, Muscat",,400
Villa,200000,"Salalah, Dhofar",2.0,141
Villa,256540,"Salalah, Dhofar",3.0,181
Apartment,47000,"Muscat Hills, Muscat",,49
Apartment,82000,"Al Sifah, Muscat",2.0,110
Apartment,95000,"Muscat Hills, Muscat",2.0,142
Apartment,180000,"The Wave (Almouj), Muscat",2.0,133
Villa,104525,"Salalah, Dhofar",1.0,79
Villa,65000,"Al Seeb, Muscat",4.0,600
Villa,108000,"Al Mawaleh, Muscat",4.0,240
Villa,419000,"Madinat As Sultan Qaboos, Muscat",5.0,720
Apartment,20900,"Al Maabilah, Muscat",2.0,84
Residential Land,7500,"Al Khaboura, Al Batinah",,1
Apartment,77000,"The Wave (Almouj), Muscat",1.0,107
Apartment,45700,"Ghala, Muscat",1.0,91
Villa,1400000,"Al Sifah, Muscat",5.0,2
Apartment,57000,"Al Hail, Muscat",2.0,84
Residential Land,340000,"Bosher, Muscat",,1
Chalet,220000,"Al Sifah, Muscat",3.0,177
