title,price,location,rooms,size
Villa,"35,500","Barka, Al Batinah",2,600 Sq. M.
Apartment,"68,032","Al Seeb, Muscat",1,96 Sq. M.
Residential Land,"5,500","Nizwa, Al Dakhiliya",not available,600 Sq. M.
Apartment,"146,500","The Wave (Almouj), Muscat",2,125 Sq. M.
Apartment,"80,000","Qurum, Muscat",2,137 Sq. M.
Apartment,"63,000","Muscat Hills, Muscat",1,74 Sq. M.
Villa,"1,360,000","Al Mawaleh, Muscat",6,933 Sq. M.
Villa,"52,000","Al Amarat, Muscat",3,399 Sq. M.
Apartment,"59,016","Al Seeb, Muscat",1,83 Sq. M.
Residential Land,"19,000","Ruwi, Muscat",not available,147 Sq. M.
Villa,"44,000","Al Amarat, Muscat",4,208 Sq. M.
Villa,"65,000","Barka, Al Batinah",5,233 Sq. M.
Apartment,"63,000","Muscat Hills, Muscat",1,78 Sq. M.
Villa,"1,500,000","The Wave (Almouj), Muscat",6,907 Sq. M.
Villa,"90,000","Al Maabilah, Muscat",3,600 Sq. M.
Apartment,"37,000","Al Maabilah, Muscat",2,136 Sq. M.
Apartment,"920,000","The Wave (Almouj), Muscat",4,421 Sq. M.
Apartment,"38,000","Ghala, Muscat",1,68 Sq. M.
Apartment,"245,000","The Wave (Almouj), Muscat",2,126 Sq. M.
Residential Land,"3,650","Al Amarat, Muscat",not available,600 Sq. M.
Apartment,"89,000","The Wave (Almouj), Muscat",1,104 Sq. M.
Apartment,"45,000","Al Hail, Muscat",2,130 Sq. M.
Villa,"240,000","Bosher, Muscat",5,404 Sq. M.
Villa,"716,000","Yiti, Muscat",3,166 Sq. M.
Apartment,"45,000","Salalah, Dhofar",not available,55 Sq. M.
Villa,"154,900","Al Maabilah, Muscat",5,400 Sq. M.
Villa,"227,100","Al Maabilah, Muscat",5,400 Sq. M.
Villa,"203,300","Al Maabilah, Muscat",5,500 Sq. M.
Apartment,"85,000","Muscat Hills, Muscat",2,135 Sq. M.
Residential Land,"15,000","Azaiba, Muscat",not available,90 Sq. M.
Apartment,"85,034","Yiti, Muscat",1,85 Sq. M.
Villa,"238,000","Yiti, Muscat",4,256 Sq. M.
Apartment,"155,000","Muscat - Other, Muscat",2,156 Sq. M.
Apartment,"125,000","The Wave (Almouj), Muscat",1,70 Sq. M.
Apartment,"69,000","Al Hail, Muscat",2,102 Sq. M.
Villa,"210,000","Al Hail, Muscat",6,480 Sq. M.
Apartment,"26,500","Al Seeb, Muscat",1,70 Sq. M.
Residential Land,"105,000","Al Mawaleh, Muscat",not available,690 Sq. M.
Villa,"588,000","The Wave (Almouj), Muscat",5,722 Sq. M.
Residential Land,"15,000","Barka, Al Batinah",not available,300 Sq. M.
Villa,"205,000","The Wave (Almouj), Muscat",4,175 Sq. M.
Villa,"117,000","Al Khoud, Muscat",4,328 Sq. M.
Residential Land,"25,000","Shinas, Al Batinah",not available,"5,281 Sq. M."
Residential Land,"31,500","Shinas, Al Batinah",not available,"6,956 Sq. M."
Residential Land,"4,500","Saham, Al Batinah",not available,607 Sq. M.
Villa,"335,000","Al Sifah, Muscat",4,344 Sq. M.
Villa,"47,000","Sumail, Al Dakhiliya",4,260 Sq. M.
Apartment,"36,500","Al Maabilah, Muscat",3,126 Sq. M.
Residential Land,"5,200","Saham, Al Batinah",not available,600 Sq. M.
Villa,"455,000","Yiti, Muscat",3,120 Sq. M.
Villa,"48,000","Sohar, Al Batinah",5,304 Sq. M.
Residential Land,"100,000","Al Rustaq, Al Batinah",not available,"3,180 Sq. M."
Residential Land,"5,950","Al Masn'a, Al Batinah",not available,600 Sq. M.
Residential Land,"9,300","Saham, Al Batinah",not available,757 Sq. M.
Apartment,"23,000","Al Duqum, Al Wusta",1,35 Sq. M.
Villa,"49,000","Al Rustaq, Al Batinah",4,293 Sq. M.
Residential Land,"130,000","Al Maabilah, Muscat",not available,500 Sq. M.
Villa,"105,000","Ansab, Muscat",5,422 Sq. M.
Apartment,"135,000","The Wave (Almouj), Muscat",3,138 Sq. M.
Chalet,"85,000","Suwaiq, Al Batinah",3,"10,000 Sq. M."
Villa,"39,000","Al Amarat, Muscat",3,423 Sq. M.
Apartment,"112,000","Muscat Hills, Muscat",2,138 Sq. M.
Villa,"174,650","Al Maabilah, Muscat",5,249 Sq. M.
Apartment,"90,675","Muscat Hills, Muscat",2,108 Sq. M.
Apartment,"65,000","Muscat Hills, Muscat",1,85 Sq. M.
Villa,"165,000","Ansab, Muscat",7,300 Sq. M.
Apartment,"96,122","Yiti, Muscat",1,68 Sq. M.
Apartment,"45,000","Ghala, Muscat",2,99 Sq. M.
Apartment,"298,082","Qurum, Muscat",2,132 Sq. M.
Villa,"190,000","Al Sifah, Muscat",2,818 Sq. M.
Apartment,"125,000","Salalah, Dhofar",3,111 Sq. M.
Villa,"82,000","Nizwa, Al Dakhiliya",5,430 Sq. M.
Villa,"160,000","Salalah, Dhofar",2,131 Sq. M.
Villa,"1,000,000","Al Buraimi, Al Buraimi",10,"1,500 Sq. M."
Apartment,"94,000","The Wave (Almouj), Muscat",1,107 Sq. M.
Villa,"88,000","Al Maabilah, Muscat",6,781 Sq. M.
Apartment,"63,000","Muscat Hills, Muscat",1,76 Sq. M.
Villa,"235,000","Al Khoud, Muscat",4,417 Sq. M.
Apartment,"63,000","Muscat Hills, Muscat",1,95 Sq. M.
Villa,"178,000","Sultan Haitham City, Muscat",5,249 Sq. M.
Apartment,"112,000","Muscat Hills, Muscat",2,138 Sq. M.
Residential Land,"6,200","Ibra, Al Sharqiya",not available,600 Sq. M.
Apartment,"54,000","Bosher, Muscat",3,116 Sq. M.
Villa,"90,000","Salalah, Dhofar",2,120 Sq. M.
Apartment,"42,000","Al Maabilah, Muscat",not available,50 Sq. M.
Residential Land,"10,500","Sumail, Al Dakhiliya",not available,600 Sq. M.
Apartment,"63,000","Muscat Hills, Muscat",1,76 Sq. M.
Apartment,"85,000","Muscat Hills, Muscat",1,95 Sq. M.
Villa,"27,000","Bosher, Muscat",2,75 Sq. M.
Villa,"238,891","Yiti, Muscat",3,253 Sq. M.
Villa,"340,000","Sultan Haitham City, Muscat",4,388 Sq. M.
Apartment,"160,000","The Wave (Almouj), Muscat",2,200 Sq. M.
Residential Land,"9,500","Ibra, Al Sharqiya",not available,680 Sq. M.
Apartment,"80,000","Muscat Hills, Muscat",2,129 Sq. M.
Villa,"310,000","Sultan Haitham City, Muscat",7,413 Sq. M.
Apartment,"222,240","Al Seeb, Muscat",4,339 Sq. M.
Villa,"75,000","Al Amarat, Muscat",5,200 Sq. M.
Apartment,"60,684","Muscat Hills, Muscat",1,78 Sq. M.
Residential Land,"16,000","Salalah, Dhofar",not available,600 Sq. M.
Apartment,"64,890","Muscat Hills, Muscat",1,76 Sq. M.
Apartment,"103,000","The Wave (Almouj), Muscat",1,91 Sq. M.
Apartment,"51,000","Bosher, Muscat",4,114 Sq. M.
Villa,"340,000","Sultan Haitham City, Muscat",4,388 Sq. M.
Villa,"59,000","Barka, Al Batinah",4,300 Sq. M.
Villa,"349,549","Sultan Haitham City, Muscat",4,388 Sq. M.
Villa,"100,000","Barka, Al Batinah",3,600 Sq. M.
Apartment,"110,000","The Wave (Almouj), Muscat",1,95 Sq. M.
Chalet,"220,000","Barka, Al Batinah",4,"1,214 Sq. M."
Residential Land,"23,300","Barka, Al Batinah",not available,600 Sq. M.
Villa,"65,000","Al Maabilah, Muscat",4,600 Sq. M.
Villa,"90,000","Al Maabilah, Muscat",7,300 Sq. M.
Residential Land,"120,000","Al Maabilah, Muscat",not available,400 Sq. M.
Villa,"200,000","Salalah, Dhofar",2,141 Sq. M.
Villa,"256,540","Salalah, Dhofar",3,181 Sq. M.
Apartment,"47,000","Muscat Hills, Muscat",not available,49 Sq. M.
Apartment,"82,000","Al Sifah, Muscat",2,110 Sq. M.
Apartment,"95,000","Muscat Hills, Muscat",2,142 Sq. M.
Apartment,"180,000","The Wave (Almouj), Muscat",2,133 Sq. M.
Villa,"104,525","Salalah, Dhofar",1,79 Sq. M.
Villa,"65,000","Al Seeb, Muscat",4,600 Sq. M.
Villa,"108,000","Al Mawaleh, Muscat",4,240 Sq. M.
Villa,"419,000","Madinat As Sultan Qaboos, Muscat",5,720 Sq. M.
Apartment,"20,900","Al Maabilah, Muscat",2,84 Sq. M.
Residential Land,"7,500","Al Khaboura, Al Batinah",not available,"1,248 Sq. M."
Apartment,"77,000","The Wave (Almouj), Muscat",1,107 Sq. M.
Apartment,"45,700","Ghala, Muscat",1,91 Sq. M.
Villa,"1,400,000","Al Sifah, Muscat",5,"2,242 Sq. M."
Apartment,"57,000","Al Hail, Muscat",2,84 Sq. M.
Residential Land,"340,000","Bosher, Muscat",not available,"1,500 Sq. M."
Chalet,"220,000","Al Sifah, Muscat",3,177 Sq. M.
Apartment,"225,000","The Wave (Almouj), Muscat",2,157 Sq. M.
Villa,"37,000","Barka, Al Batinah",4,180 Sq. M.
Apartment,"172,082","Qurum, Muscat",1,73 Sq. M.
Apartment,"140,000","The Wave (Almouj), Muscat",1,114 Sq. M.
Apartment,"85,000","Salalah, Dhofar",2,120 Sq. M.
Apartment,"130,000","Al Mawaleh, Muscat",3,566 Sq. M.
Apartment,"95,000","Salalah, Dhofar",1,76 Sq. M.
Apartment,"110,000","The Wave (Almouj), Muscat",1,107 Sq. M.
Chalet,"51,000","Barka, Al Batinah",2,600 Sq. M.
Apartment,"35,000","Salalah, Dhofar",3,150 Sq. M.
Villa,"76,000","Al Maabilah, Muscat",4,345 Sq. M.
Apartment,"70,850","Al Maabilah, Muscat",2,109 Sq. M.
Villa,"980,000","Al Sifah, Muscat",5,"2,300 Sq. M."
Apartment,"60,000","Al Sifah, Muscat",1,59 Sq. M.
Villa,"413,968","Qantab, Muscat",4,422 Sq. M.
Apartment,"140,000","The Wave (Almouj), Muscat",2,140 Sq. M.
Villa,"185,000","The Wave (Almouj), Muscat",2,128 Sq. M.
Apartment,"70,850","Sultan Haitham City, Muscat",2,109 Sq. M.
Apartment,"163,050","Sultan Haitham City, Muscat",3,217 Sq. M.
Apartment,"53,300","Sultan Haitham City, Muscat",1,82 Sq. M.
Residential Land,"100,000","Al Amarat, Muscat",not available,400 Sq. M.
Residential Land,"140,000","Ansab, Muscat",not available,734 Sq. M.
Residential Land,"100,000","Bosher, Muscat",not available,500 Sq. M.
Apartment,"58,500","Sultan Haitham City, Muscat",1,70 Sq. M.
Villa,"250,000","Al Sifah, Muscat",3,153 Sq. M.
Apartment,"255,000","The Wave (Almouj), Muscat",2,157 Sq. M.
Villa,"225,000","The Wave (Almouj), Muscat",4,176 Sq. M.
Apartment,"85,000","Muscat Hills, Muscat",2,120 Sq. M.
Residential Land,"12,200","Barka, Al Batinah",not available,810 Sq. M.
Villa,"95,000","Misfah, Muscat",4,215 Sq. M.
Apartment,"46,150","Al Maabilah, Muscat",1,71 Sq. M.
Apartment,"923,409","Muscat - Other, Muscat",4,424 Sq. M.
Apartment,"288,115","Qantab, Muscat",3,361 Sq. M.
Villa,"1,100,000","Suwaiq, Al Batinah",6,"15,430 Sq. M."
Villa,"79,000","Salalah, Dhofar",1,69 Sq. M.
Villa,"140,000","Salalah, Dhofar",2,110 Sq. M.
Villa,"98,000","Al Seeb, Muscat",7,425 Sq. M.
Villa,"140,000","Al Hail, Muscat",5,320 Sq. M.
Residential Land,"16,000","Barka, Al Batinah",not available,630 Sq. M.
Apartment,"125,000","The Wave (Almouj), Muscat",1,110 Sq. M.
Apartment,"29,000","Darsait, Muscat",2,90 Sq. M.
Apartment,"61,000","Al Sifah, Muscat",1,64 Sq. M.
Apartment,"50,000","Salalah, Dhofar",1,55 Sq. M.
Residential Land,"27,000","Al Amarat, Muscat",not available,333 Sq. M.
Apartment,"100,000","The Wave (Almouj), Muscat",1,107 Sq. M.
Villa,"2,800,000","The Wave (Almouj), Muscat",6,"1,615 Sq. M."
Apartment,"88,000","Ghala, Muscat",2,139 Sq. M.
Residential Land,"6,700","Saham, Al Batinah",not available,"1,213 Sq. M."
Residential Land,"20,500","Sohar, Al Batinah",not available,600 Sq. M.
Villa,"149,695","Al Maabilah, Muscat",5,249 Sq. M.
Apartment,"50,000","Salalah, Dhofar",1,65 Sq. M.
Villa,"175,000","Sultan Haitham City, Muscat",3,220 Sq. M.
Villa,"256,000","Muscat Hills, Muscat",5,258 Sq. M.
Apartment,"68,000","Al Sifah, Muscat",1,91 Sq. M.
Apartment,"45,000","Al Sifah, Muscat",not available,61 Sq. M.
Residential Land,"135,000","Al Maabilah, Muscat",not available,400 Sq. M.
Villa,"66,000","Al Maabilah, Muscat",3,223 Sq. M.
Residential Land,"95,000","Bosher, Muscat",not available,439 Sq. M.
Villa,"25,000","Barka, Al Batinah",3,447 Sq. M.
Apartment,"320,000","Qantab, Muscat",3,361 Sq. M.
Residential Land,"145,000","Bosher, Muscat",not available,783 Sq. M.
Villa,"185,000","Al Ghubrah, Muscat",4,475 Sq. M.
Residential Land,100,"Adam, Al Dakhiliya",not available,700 Sq. M.
Apartment,"110,000","Al Sifah, Muscat",2,124 Sq. M.
Villa,"137,000","Al Khoud, Muscat",5,420 Sq. M.
Apartment,"204,000","Sultan Haitham City, Muscat",4,272 Sq. M.
Residential Land,"48,000","Al Khaboura, Al Batinah",not available,"4,000 Sq. M."
Apartment,"125,000","The Wave (Almouj), Muscat",1,110 Sq. M.
Apartment,"138,000","Qantab, Muscat",1,118 Sq. M.
Villa,"170,650","Salalah, Dhofar",2,133 Sq. M.
Apartment,"91,180","Qantab, Muscat",1,79 Sq. M.
Apartment,"25,000","Al Amarat, Muscat",2,95 Sq. M.
Residential Land,"18,000","Al Buraimi, Al Buraimi",not available,"1,283 Sq. M."
Residential Land,"5,000","Izki, Al Dakhiliya",not available,600 Sq. M.
Apartment,"87,735","Al Seeb, Muscat",2,134 Sq. M.
Apartment,"94,000","The Wave (Almouj), Muscat",1,90 Sq. M.
Villa,"80,000","Al Khoud, Muscat",5,376 Sq. M.
Apartment,"98,000","The Wave (Almouj), Muscat",1,84 Sq. M.
